user_crm_id,Frequency,Monetary,F_Score,M_Score,Tally
1387847,2,96.5,2,3,5
2500126,1,29.75,1,2,3
2500190,1,15,1,1,2
2500217,4,58.48,2,3,5
2507493,2,16.98,2,1,3
2507701,3,153.49,2,3,5
2507716,2,76.5,2,3,5
2507739,1,30,1,2,3
2508863,1,52.5,1,3,4
2508993,1,270,1,3,4
2509130,1,29.99,1,2,3
2509171,1,20,1,1,2
2509265,1,47.5,1,2,3
2509595,2,48.49,2,2,4
2509626,1,20,1,1,2
2509629,1,36,1,2,3
2520035,1,11.99,1,1,2
2520052,1,20,1,1,2
2520060,2,40,2,2,4
2520080,1,48.88,1,2,3
2520158,2,23.98,2,1,3
2520184,3,42.98,2,2,4
2520202,1,16.99,1,1,2
2520345,1,10.99,1,1,2
2520407,1,49.5,1,2,3
2520428,4,60.48,2,3,5
2520592,1,35,1,2,3
2520699,3,117.49,2,3,5
2520742,1,14.45,1,1,2
2520940,1,15,1,1,2
2520986,1,30,1,2,3
2521269,1,42.75,1,2,3
2521482,1,5.99,1,1,2
2521485,1,25,1,2,3
2521501,1,27.5,1,2,3
2521574,1,10.99,1,1,2
2521703,1,42.5,1,2,3
2521723,1,31.5,1,2,3
2521724,2,85,2,3,5
2521884,1,40.8,1,2,3
2521901,1,16.99,1,1,2
2521933,1,32.5,1,2,3
2522078,1,20,1,1,2
2522316,1,96,1,3,4
2522587,1,27,1,2,3
2522596,2,64.99,2,3,5
2522663,3,97.49,2,3,5
2522666,1,20.5,1,1,2
2522678,1,35,1,2,3
2522736,1,15,1,1,2
2522775,1,23,1,1,2
2522805,1,42.5,1,2,3
2522832,1,16.49,1,1,2
2522867,1,23,1,1,2
2522946,1,40,1,2,3
2522971,1,90,1,3,4
2523059,2,100,2,3,5
2523097,1,35,1,2,3
2523178,1,31,1,2,3
2523249,1,40,1,2,3
2523283,1,24.99,1,1,2
2523294,1,14.99,1,1,2
2523307,1,8.99,1,1,2
2523350,2,41.48,2,2,4
2523354,3,106.5,2,3,5
2523362,1,42.5,1,2,3
2523365,1,8.99,1,1,2
2523382,1,11.99,1,1,2
2523492,1,42,1,2,3
2523542,1,37.5,1,2,3
2523582,1,120,1,3,4
2523632,1,45,1,2,3
2523691,2,135,2,3,5
2523713,1,11.99,1,1,2
2523724,1,51.75,1,3,4
2523766,3,92.24,2,3,5
2523814,3,165,2,3,5
2524008,1,40,1,2,3
2524038,3,28.98,2,2,4
2524132,1,29.99,1,2,3
2524151,2,25.48,2,2,4
2524175,2,100,2,3,5
2524188,1,42.5,1,2,3
2524198,1,31.5,1,2,3
2524204,2,80,2,3,5
2524267,4,78.47,2,3,5
2524330,3,99.24,2,3,5
2524357,1,12.99,1,1,2
2524456,1,8.99,1,1,2
2524620,1,11.99,1,1,2
2524770,2,61.49,2,3,5
2524818,1,29.99,1,2,3
2524875,1,55,1,3,4
2525032,1,34.99,1,2,3
2525194,2,100,2,3,5
2525208,1,37.5,1,2,3
2525252,5,127.25,2,3,5
2525345,1,45,1,2,3
2525348,2,84.99,2,3,5
2525354,1,95,1,3,4
2525385,1,24.99,1,1,2
2525443,1,45,1,2,3
2525476,2,30.22,2,2,4
2525812,2,39.98,2,2,4
2525845,2,54.99,2,3,5
2525863,1,24.99,1,1,2
2525864,1,50,1,2,3
2525866,1,70,1,3,4
2525880,1,35,1,2,3
2525922,1,20,1,1,2
2525930,2,40.98,2,2,4
2526074,1,40,1,2,3
2526081,1,24.65,1,1,2
2526215,1,19.99,1,1,2
2526288,1,114.75,1,3,4
2526349,2,46.99,2,2,4
2526381,1,14.49,1,1,2
2526398,1,25,1,2,3
2526399,1,65,1,3,4
2526650,1,65,1,3,4
2526683,2,38.5,2,2,4
2526744,1,40,1,2,3
2526938,1,15,1,1,2
2526959,1,24.99,1,1,2
2526993,7,152.57,2,3,5
2527081,1,7.99,1,1,2
2527136,5,84.16,2,3,5
2527183,1,27.99,1,2,3
2527184,1,35,1,2,3
2527193,1,45,1,2,3
2527403,1,8.99,1,1,2
2527438,1,6.99,1,1,2
2527490,4,204,2,3,5
2527532,1,4.99,1,1,2
2527539,2,96.99,2,3,5
2527617,1,65,1,3,4
2527661,1,26,1,2,3
2527722,1,19.99,1,1,2
2527794,1,27,1,2,3
2527802,2,150,2,3,5
2527893,1,60,1,3,4
2527914,1,76.5,1,3,4
2527943,1,10.99,1,1,2
2527992,1,35,1,2,3
2528526,1,30,1,2,3
2528641,2,25.23,2,2,4
2528802,1,55,1,3,4
2528909,1,16.99,1,1,2
2529009,1,45,1,2,3
2529024,1,8.99,1,1,2
2529136,1,55,1,3,4
2529189,1,30,1,2,3
2529235,1,27.5,1,2,3
2529276,1,24,1,1,2
2529416,4,183.47,2,3,5
2529425,1,23.25,1,1,2
2529438,2,35.99,2,2,4
2529444,1,35.25,1,2,3
2529614,1,81,1,3,4
2529674,1,9.99,1,1,2
2529683,1,15.2,1,1,2
2529729,1,19.99,1,1,2
2529746,1,49.5,1,2,3
2529783,1,15,1,1,2
2529786,2,95,2,3,5
2529829,1,26.49,1,2,3
2529914,1,45,1,2,3
2529972,1,6.99,1,1,2
2529989,2,27.99,2,2,4
2529990,1,27.99,1,2,3
2530063,1,20,1,1,2
2530091,1,180,1,3,4
2530101,2,49.24,2,2,4
2530148,2,41.65,2,2,4
2530150,1,21.5,1,1,2
2530258,1,4.99,1,1,2
2530443,1,20,1,1,2
2530458,1,26.5,1,2,3
2530474,1,49.5,1,2,3
2530691,1,15.3,1,1,2
2530706,1,105,1,3,4
2530784,5,76.98,2,3,5
2530855,1,15,1,1,2
2530893,1,22.49,1,1,2
2530924,1,40,1,2,3
2531092,1,47.5,1,2,3
2531100,2,62.5,2,3,5
2531117,2,40,2,2,4
2531137,2,198,2,3,5
2531160,2,60,2,3,5
2531217,1,100,1,3,4
2531292,1,8.99,1,1,2
2531363,2,95,2,3,5
2531415,1,45,1,2,3
2531427,1,27.9,1,2,3
2531529,1,24.99,1,1,2
2531749,2,161,2,3,5
2531755,1,10.99,1,1,2
2531797,2,54.99,2,3,5
2531839,2,40.49,2,2,4
2531856,1,25,1,2,3
2532096,1,55.25,1,3,4
2532141,1,12.99,1,1,2
2532158,1,15,1,1,2
2532283,3,134,2,3,5
2532291,1,12.99,1,1,2
2532317,1,28,1,2,3
2532447,1,75,1,3,4
2532496,1,15,1,1,2
2532564,1,26.5,1,2,3
2532611,4,45.99,2,2,4
2532633,1,49.25,1,2,3
2532653,1,20,1,1,2
2532822,3,121.5,2,3,5
2532831,1,12.99,1,1,2
2533022,1,12.99,1,1,2
2533034,1,30,1,2,3
2533070,1,42.5,1,2,3
2533079,1,29.75,1,2,3
2533168,1,60,1,3,4
2533199,1,25,1,2,3
2533209,2,23.5,2,1,3
2533251,2,40,2,2,4
2533285,1,312.5,1,3,4
2533395,1,12.99,1,1,2
2533418,1,54,1,3,4
2533454,1,12.99,1,1,2
2533489,2,148,2,3,5
2533530,1,60,1,3,4
2533574,1,6.99,1,1,2
2533649,1,52.5,1,3,4
2533663,1,11.99,1,1,2
2533689,1,57,1,3,4
2533696,1,25,1,2,3
2533703,1,32.49,1,2,3
2533731,1,21.25,1,1,2
2533732,1,55,1,3,4
2533739,1,55,1,3,4
2533740,1,310,1,3,4
2533749,3,82.98,2,3,5
2533783,1,70,1,3,4
2533792,2,169,2,3,5
2533806,1,25,1,2,3
2533824,1,115,1,3,4
2533833,1,54,1,3,4
2533855,1,19,1,1,2
2533872,4,120.67,2,3,5
2533950,1,5.99,1,1,2
2533971,8,264.99,2,3,5
2533986,1,111,1,3,4
2534084,2,55.49,2,3,5
2534121,1,110,1,3,4
2534238,2,102.5,2,3,5
2534280,1,60,1,3,4
2534305,1,14.99,1,1,2
2534350,2,26.99,2,2,4
2534355,8,247.73,2,3,5
2534373,1,20.5,1,1,2
2534387,1,20,1,1,2
2534427,1,24.99,1,1,2
2534439,1,68,1,3,4
2534449,1,12.99,1,1,2
2534460,1,10.99,1,1,2
2534470,1,30,1,2,3
2534586,2,59,2,3,5
2534606,4,219.98,2,3,5
2534623,1,17.5,1,1,2
2534632,1,25.5,1,2,3
2534675,1,63,1,3,4
2534701,1,8.99,1,1,2
2534821,1,14.99,1,1,2
2534893,1,35,1,2,3
2534927,2,48.5,2,2,4
2534985,1,16.49,1,1,2
2535022,1,10.99,1,1,2
2535023,1,50,1,2,3
2535093,1,150,1,3,4
2535329,2,128.39,2,3,5
2535374,1,10.99,1,1,2
2535382,1,135,1,3,4
2535396,1,9.99,1,1,2
2535405,1,34,1,2,3
2535661,1,50,1,2,3
2535670,3,79.98,2,3,5
2535734,1,13.5,1,1,2
2535851,1,15,1,1,2
2535868,1,42.5,1,2,3
2535891,1,85,1,3,4
2535944,3,75.98,2,3,5
2535977,2,25.98,2,2,4
2536022,2,21.48,2,1,3
2536067,1,20,1,1,2
2536085,1,7,1,1,2
2536112,1,42,1,2,3
2536120,1,100,1,3,4
2536140,2,28.48,2,2,4
2536156,1,6.99,1,1,2
2536214,1,22.99,1,1,2
2536244,1,4.57,1,1,2
2536247,1,51,1,3,4
2536257,2,70,2,3,5
2536288,1,13,1,1,2
2536297,2,89.25,2,3,5
2536299,1,38.25,1,2,3
2536304,1,15,1,1,2
2536349,1,45,1,2,3
2536354,2,90.49,2,3,5
2536407,3,54.99,2,3,5
2536410,1,40.5,1,2,3
2536424,1,43.35,1,2,3
2536426,2,187,2,3,5
2536495,1,20,1,1,2
2536533,4,61.98,2,3,5
2536536,1,29.75,1,2,3
2536557,6,126.46,2,3,5
2536639,1,110,1,3,4
2536648,3,141.49,2,3,5
2536662,4,90.23,2,3,5
2536683,3,69.75,2,3,5
2536688,1,14.99,1,1,2
2536705,2,196,2,3,5
2536744,1,25,1,2,3
2536754,5,150.5,2,3,5
2536786,1,24.99,1,1,2
2536815,1,1.8,1,1,2
2536820,1,14.99,1,1,2
2536849,2,310,2,3,5
2536871,2,121.05,2,3,5
2536884,1,12.99,1,1,2
2536914,2,100.5,2,3,5
2536944,1,9.99,1,1,2
2536999,1,15,1,1,2
2537084,2,73.57,2,3,5
2537099,1,34,1,2,3
2537120,1,90,1,3,4
2537134,2,107.5,2,3,5
